"_","accuracy","precision","recall","f1","accuracy_u","precision_u","recall_u","f1_u"
0,0.8606503445648787,0.8604220216390699,0.8949822794254804,0.877361940753383,0.8686497904907019,0.8774570024570024,0.8882049368898838,0.8827982572691037
0,0.8889838329288717,0.8796382570567278,0.9384831296415415,0.908108413964805,0.8737737977236217,0.8617526440751133,0.9338635167534063,0.8963601156231583
0,0.8413591056034483,0.87816296956861,0.861878453038674,0.8699445103939486,0.8245218211206896,0.8883870200879591,0.8176795580110497,0.8515680633491896
0,0.8773538562305551,0.867291741795889,0.9350699844479005,0.8999064546304958,0.8776485999672506,0.8742917103882476,0.92557209508998,0.899201381394345
0,0.84833286016214,0.8629134549712167,0.8985065528802194,0.8803503882142146,0.8420239109176366,0.8822395833333333,0.860459209590572,0.8712132901301239
0,0.8359173548323922,0.8628541170240932,0.86990177236814,0.8663636121966133,0.8454483141299736,0.867394613890493,0.8820734571855648,0.8746724544083005
0,0.8790957317707431,0.8884938392692945,0.8967949511199109,0.8926250962278676,0.8738254568149509,0.8774489119295918,0.9006311100111373,0.8888888888888888
0,0.8797402515525014,0.871612697545202,0.9505314393563127,0.9093630467320805,0.8640103395013082,0.8786138234730998,0.9116916658388795,0.8948471700872618
0,0.8638602293561491,0.8719888133223161,0.8855538342370256,0.8787189751801442,0.8656936405795017,0.8627499382868428,0.9024012393493416,0.8821302372539122
0,0.8616712753760032,0.887421494394553,0.873779113448535,0.8805474665113571,0.8557698792742969,0.8802989606446339,0.8712939952609374,0.8757733306224404
0,0.8626010030649206,0.8590498396968814,0.9061116576487949,0.8819533798138784,0.8582474226804123,0.8542296072507553,0.904021151008362,0.8784203608555383
0,0.8479944218136445,0.8419141334270486,0.9087690459632042,0.8740650653694131,0.8538294983302139,0.8507409602845287,0.9073781374470506,0.8781472756753449
0,0.8657326130992573,0.8621091063019207,0.9223845108695652,0.891228837896234,0.8600270087778528,0.8680570681768678,0.9024569746376812,0.8849228377928278
0,0.8413492412208065,0.8264278961125633,0.9042779772409176,0.8636020224327308,0.8517592185757258,0.8343973796702382,0.9146230146656119,0.8726702665040935
0,0.8191122641174171,0.8152469620941902,0.8689348540498744,0.841235184029944,0.8333629482213298,0.8614337204645575,0.8316257490817708,0.8462673354971968
0,0.8393072895690696,0.8677343792558697,0.8709606867515993,0.8693445396496207,0.8614914753658209,0.8823434125269979,0.8934878888949642,0.8878806813551033
0,0.8728449096098954,0.8500185162325639,0.9379554586937274,0.8918245102800711,0.8675166508087536,0.852441479989932,0.9226316147926173,0.8861488143908423
0,0.8824043889639819,0.8684929483866204,0.9090347012906717,0.888301487803036,0.8710741830325197,0.8796397807361003,0.868150552592936,0.8738574040219379
0,0.8505259339862169,0.8132982949336919,0.9258383191874218,0.8659270585938771,0.8569459557490026,0.8347669790730518,0.9046890218449979,0.8683226495726495
0,0.8549866131191433,0.8519683388373434,0.9150433509739894,0.8823800863215614,0.8600736278447122,0.8382902406217306,0.9473595315842811,0.8894938548962601
