"_","accuracy","precision","recall","f1","accuracy_u","precision_u","recall_u","f1_u"
0,0.8369049566497628,0.7871429527058666,0.9358943768392587,0.8550977399898263,0.8351464092916735,0.7869909958338933,0.9315199236459079,0.8531779275177562
0,0.8694612142613054,0.8700493628745265,0.9281165809453833,0.8981454049890384,0.8830542582678361,0.8770771682221716,0.943668870928239,0.9091552619159982
0,0.869427238663302,0.8774285871539436,0.9306479859894922,0.9032550497181224,0.8611684637149193,0.8795905742084247,0.9130180969060129,0.8959926670676863
0,0.8886081677287982,0.8881025015253203,0.9285532023475377,0.9078775026507827,0.8710358610807346,0.8650226352156302,0.9263842817045165,0.8946525381961556
0,0.848503220917014,0.8143514617229533,0.9172081477695846,0.8627249004257657,0.852595680181887,0.8231301482701813,0.9119515222311455,0.865267387087836
0,0.8668544270374934,0.8496691712459348,0.9322628276116648,0.8890518657592116,0.8717831367716952,0.8608377203021287,0.9255567860219023,0.8920249036466054
0,0.8687058668250511,0.8650814998117166,0.9161918869644485,0.889903433773277,0.8695637827492906,0.8709695018822631,0.9095259799453054,0.8898302722889552
0,0.8474718093796071,0.8453134785331571,0.8832981894859303,0.8638884938131133,0.8573136231422083,0.8633895398685338,0.8786446593470516,0.8709503045154781
0,0.8499358411562099,0.8674761192312119,0.8756389405204461,0.8715384170665434,0.8455460255284662,0.8740236686390532,0.8579809479553904,0.8659280103177395
0,0.8405314599877826,0.8274174411706545,0.9063193805165972,0.8650730068484301,0.8292608430054978,0.8286122594804267,0.8791357556722803,0.8531266421439831
0,0.8476088888888889,0.8543625366788431,0.8849947273742323,0.8694088970140158,0.8537244444444444,0.8664916671753862,0.880466472303207,0.8734231739585255
0,0.8546338457324797,0.8390467765122194,0.9191399152029073,0.8772690484449068,0.8626793111712143,0.8559548897875491,0.9102362204724409,0.882261426013444
0,0.8276389110014329,0.8127619047619048,0.9201574208852229,0.8631318111709524,0.832606272886483,0.8186918576771842,0.9204269771955361,0.8665837626576657
0,0.8867455123052781,0.8589548143179462,0.956149877816997,0.9049500497895988,0.8769089447697784,0.8535986244166053,0.9435243008417051,0.8963115811194223
0,0.85453144698137,0.8681005441824307,0.9123590609510321,0.889679715302491,0.8603445860764813,0.8800042307895711,0.9063674492074731,0.8929913062144467
0,0.8443812233285918,0.8915330339961514,0.8380969609261939,0.8639895567849816,0.8363442389758179,0.8999866470823875,0.8128316449589966,0.8541917495722705
0,0.871196677991695,0.8734682445206918,0.8860004261666311,0.8796897038081805,0.875839939599849,0.8899812057250253,0.8744939271255061,0.882169598395013
0,0.8627146117966191,0.8688290385734695,0.9076336299817589,0.8878075155447418,0.8605974395448079,0.8776465465628912,0.8913271792604057,0.884433962264151
0,0.8563150513028714,0.8445367880713762,0.9110686268046674,0.8765420353280691,0.8652100095962205,0.8706791116832958,0.8916869932098358,0.881057842626368
0,0.8597112396239034,0.8136283508601301,0.9639899171768095,0.8824498945147679,0.8540461859239152,0.8141013767981725,0.9496579042131796,0.8766704341466657
0,0.8870842740169155,0.9187338646312717,0.8958572757620533,0.9071513673769084,0.8748525794386225,0.9207560256632564,0.8717780331636841,0.8955979085849215
0,0.8666429126716766,0.8793327556325823,0.8957793103448276,0.8874798436688622,0.8711777662606893,0.8705216844751729,0.9169655172413793,0.8931402316145848
0,0.8425054581043439,0.799543552681628,0.9250403403256564,0.8577257889009793,0.8504479409771889,0.8226140386028185,0.9034032565644712,0.8611179082042857
0,0.8598898505114083,0.8728684386015052,0.911328824348518,0.8916841029633593,0.8728874901652243,0.8928658745293628,0.9080962800875274,0.9004166769397668
0,0.8566528681253696,0.8710929916521064,0.8911618669314797,0.8810131553112115,0.8596096984033117,0.9001663893510815,0.8595829195630585,0.8794066849537742
0,0.8397109644989004,0.8660833456918285,0.8798272485311104,0.8729012007373823,0.8477222745837261,0.87953446191052,0.8766634861648169,0.8780966273484068
0,0.842472981332557,0.8381050198998587,0.8784229294220548,0.8577904799448112,0.8549907208616863,0.8698490412076704,0.8606607010697706,0.8652304778653319
0,0.8398911018770597,0.8481919758615812,0.8837312113174182,0.8655969592725347,0.8230978650236423,0.8339375676820943,0.870026525198939,0.851599874990985
0,0.8800466291043326,0.8977763026883505,0.8973593418259024,0.8975677738328302,0.8790363318437925,0.9062436306814322,0.8850185774946921,0.8955053539659629
0,0.8699255751014885,0.8502673796791443,0.9295414408379514,0.8881389462659647,0.8594722598105548,0.8602643171806167,0.8919067048291821,0.8757997966871972
0,0.891334052499101,0.8762403528114664,0.9533949136276392,0.9131908537285994,0.8906148867313916,0.8837706948980741,0.9413387715930902,0.9116468196340402
0,0.8641975308641975,0.8473314680884759,0.9455113100848256,0.8937331217461509,0.8591454086170704,0.8970292197889344,0.866222902921772,0.8813569480655699
0,0.8601879296209876,0.8788597323216356,0.8865206760922717,0.8826735817104149,0.8631519202875702,0.8948603230030554,0.8717444456255979,0.8831511496419149
0,0.8725291091253723,0.8940598690364827,0.8866983648382234,0.8903639010189228,0.8726645004061738,0.9206913765131661,0.8555607097297924,0.8869319547968262
0,0.8366144882998816,0.8150612284254171,0.9302299988995268,0.8688457189844795,0.832421012196293,0.8016787129867102,0.945966765709255,0.8678664277240719
0,0.8624922696351268,0.8500732779677577,0.926620160817935,0.8866977502611533,0.8504329004329004,0.8507950885668277,0.9003141807337984,0.8748544668960699
0,0.8841947328937497,0.8834268713232808,0.9153005464480874,0.8990813061280667,0.8804832787144155,0.8912544353997078,0.8974358974358975,0.8943344852864176
0,0.8717520609412501,0.8933741320466047,0.8900744562349768,0.8917212416669114,0.9036488225677415,0.9255883229073577,0.9108283988978132,0.9181490455646828
0,0.8432683510451122,0.8247042640990372,0.9220028295503475,0.8706435873605949,0.8455908227179957,0.8265918221341698,0.9239097004367349,0.8725456024166376
0,0.8071322134922785,0.8624392092465104,0.7951898439319823,0.8274503863051053,0.812686263885126,0.8691102796626292,0.798101560680177,0.8320937433593395
