"_","accuracy","precision","recall","f1","accuracy_u","precision_u","recall_u","f1_u"
0,0.8408866321054472,0.8741160773849233,0.8507115774165065,0.8622550374435713,0.8194733721513598,0.8870801296492784,0.7924998701501065,0.8371270051367162
0,0.8457720235122363,0.8719938246137057,0.8623984836718308,0.8671696115412614,0.8344615621038073,0.8548406023860747,0.8629644742211049,0.8588833285298819
0,0.8348401289817075,0.8703942075623492,0.8411818064014513,0.8555387149917627,0.8134134948618268,0.9026864203602385,0.7611247894259427,0.8258833785626907
0,0.8405915679948129,0.8590848583453228,0.8626574672913601,0.8608674562431787,0.8365546413078716,0.8682598039215687,0.8418238526659736,0.8548374934017042
0,0.8387405298751375,0.8713552647281116,0.8487458993103092,0.8599019909318713,0.8305017095175696,0.8859110392804441,0.8141580347686823,0.8485203357091419
0,0.8398548486720198,0.8864472423893277,0.8356167968698883,0.8602818343482244,0.8378705991352687,0.8966958712706866,0.819639094989466,0.8564377080897786
0,0.8386732380635528,0.845762989673824,0.8861528706174535,0.8654869654411622,0.8358182394949206,0.844989614468818,0.8813574995376364,0.8627904871519649
0,0.834979847874178,0.8346193511512033,0.8880002115199027,0.8604826932438319,0.8157444164974696,0.82929959192054,0.854328887008712,0.841628193190032
0,0.8369858901230861,0.8637665169306749,0.8588817636840936,0.8613172146875266,0.8293882640925571,0.855998638903794,0.8542322410437917,0.8551145277690618
0,0.8381693342754447,0.8432272128155733,0.8843490396756829,0.8632987109037946,0.8268947190562502,0.8331563108514781,0.8758024855452914,0.8539472916842167
0,0.8427156080047264,0.8491957355863569,0.886501226449559,0.8674475758833106,0.8473587735377437,0.8662033915884457,0.8717185950628882,0.8689522422224533
0,0.8084112874451218,0.8192253955467167,0.8629330575553876,0.8405113966552593,0.585035913187819,0.5850432489042318,0.9998939315593387,0.7381758740848049
0,0.8430706521739131,0.8340116385018163,0.9087178672596828,0.8697635231440716,0.8357657547630679,0.8422219407144667,0.8800598310962857,0.8607252437114042
0,0.8240409480292616,0.8744245917924752,0.8160025069201442,0.8442039997568536,0.8151922680844896,0.878807170865105,0.793035462474539,0.8337211137878257
0,0.8406355466231845,0.8073292866266517,0.9473670248043508,0.8717601323104902,0.8485836714572826,0.825229729253952,0.9327099084759252,0.8756841574356004
0,0.834191028303934,0.8586012334339326,0.860384999737022,0.8594921910916709,0.8228601543850947,0.866899329599691,0.8263425024982907,0.8461352039099
0,0.8505736491487786,0.84809849121397,0.9097856331073402,0.8778597088296464,0.8525397853441895,0.8690427227391908,0.883267364240833,0.8760973081532831
0,0.8421125048730709,0.8543393326074425,0.8778067335281265,0.8659140629564472,0.8414092538659695,0.8817828653588266,0.8394798494300982,0.8601115224089919
0,0.8466643701917557,0.8507540366051624,0.8957882101197777,0.8726905256735371,0.8327324223982853,0.8390993823416554,0.8845019701991076,0.8612026856210022
0,0.8357790912171065,0.8451046178246813,0.883713512961829,0.8639779481007053,0.8363889620901254,0.8390100289619187,0.894391712594407,0.8658161564016746
